                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4857,                 4.4005,                 4.3033,                0.00789,                0.28125,                0.00729,                0.00194,                 3.3167,                 4.5285,                 4.1587,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 3.5129,                  4.303,                  4.267,                0.00822,                0.28125,                0.00829,                0.00238,                 3.3151,                 4.5286,                 4.1581,             0.00012437,             0.00012437,             0.00012437
                      3,                 3.5165,                 4.2221,                 4.2645,                0.00868,                0.29688,                0.00937,                0.00256,                 3.3133,                 4.5264,                 4.1571,             0.00018686,             0.00018686,             0.00018686
                      4,                 3.5361,                 4.1386,                 4.1889,                0.00524,                0.39062,                0.00726,                0.00191,                 3.3119,                 4.5228,                 4.1561,             0.00024463,             0.00024463,             0.00024463
                      5,                 3.3966,                 4.2242,                 4.2002,                0.00663,                0.48438,                0.00776,                 0.0021,                 3.3095,                 4.5164,                 4.1542,             0.00029769,             0.00029769,             0.00029769
                      6,                 3.3911,                 4.0645,                  4.176,                0.00564,                0.40625,                0.00709,                 0.0019,                  3.307,                 4.5101,                 4.1521,             0.00034603,             0.00034603,             0.00034603
                      7,                 3.4802,                 3.8682,                 4.1513,                0.00763,                0.28125,                0.00718,                0.00198,                 3.3005,                 4.4958,                 4.1473,             0.00038966,             0.00038966,             0.00038966
                      8,                 3.4646,                 3.7781,                 4.1028,                0.00759,                0.28125,                0.00783,                0.00226,                 3.2957,                 4.4835,                 4.1432,             0.00042857,             0.00042857,             0.00042857
                      9,                 3.3066,                 3.9544,                 4.1034,                0.00752,                0.28125,                0.00704,                0.00204,                 3.2888,                 4.4586,                 4.1378,             0.00046277,             0.00046277,             0.00046277
                     10,                 3.5168,                 3.7081,                 4.0495,                0.00755,                0.28125,                0.00708,                0.00206,                 3.2867,                 4.4291,                 4.1386,             0.00049225,             0.00049225,             0.00049225
                     11,                 3.2712,                 3.5881,                 3.9935,                0.00538,                0.35938,                0.00574,                0.00166,                 3.2902,                 4.3897,                 4.1486,             0.00051701,             0.00051701,             0.00051701
                     12,                 3.5426,                 3.6326,                 3.9729,                0.00739,                0.48438,                0.00789,                0.00201,                 3.2886,                 4.3641,                 4.1545,             0.00053706,             0.00053706,             0.00053706
                     13,                 3.2303,                 3.4599,                 3.9428,                0.00712,                0.46875,                0.00793,                0.00219,                 3.2985,                 4.3519,                 4.1645,             0.00055239,             0.00055239,             0.00055239
                     14,                 3.3752,                 3.4191,                 3.8319,                0.00703,                0.46875,                0.00759,                0.00214,                 3.3293,                 4.3411,                 4.1934,             0.00056301,             0.00056301,             0.00056301
                     15,                 3.2507,                 3.5547,                 3.8458,                0.00868,                0.29688,                0.00731,                0.00211,                 3.3222,                 4.3752,                 4.1853,             0.00056891,             0.00056891,             0.00056891
                     16,                 3.1539,                 3.5306,                 3.7902,                0.00623,                 0.4375,                0.00762,                0.00209,                 3.3649,                 4.3974,                 4.2213,              0.0005701,              0.0005701,              0.0005701
                     17,                  3.255,                 3.3897,                  3.764,                0.00572,                0.39062,                0.00712,                0.00168,                 3.4509,                  4.377,                 4.3101,             0.00056657,             0.00056657,             0.00056657
                     18,                 2.9888,                 3.5244,                 3.7219,                0.00585,                0.32812,                0.00682,                0.00153,                 3.4778,                 4.3598,                 4.3396,             0.00055832,             0.00055832,             0.00055832
                     19,                 3.1475,                  3.431,                 3.6725,                0.00653,                0.29688,                0.00648,                0.00151,                 3.4969,                 4.3532,                 4.3603,             0.00054536,             0.00054536,             0.00054536
                     20,                 2.9847,                 3.4302,                 3.6603,                0.00698,                0.45312,                0.00753,                0.00199,                  3.423,                 4.3697,                 4.2836,             0.00052769,             0.00052769,             0.00052769
                     21,                 2.9798,                 3.8987,                 3.5909,                0.00699,                0.39062,                0.00931,                0.00212,                 3.2777,                 4.4446,                 4.1524,             0.00048586,             0.00048586,             0.00048586
                     22,                 2.8437,                 3.8024,                 3.6002,                0.00702,                0.34375,                0.00875,                0.00207,                 3.1395,                 4.4908,                 4.0465,              0.0004387,              0.0004387,              0.0004387
                     23,                 2.6843,                 3.8152,                 3.5257,                 0.0072,                0.32812,                0.00826,                0.00225,                 3.0557,                 4.4871,                 3.9756,             0.00039155,             0.00039155,             0.00039155
                     24,                 2.8354,                 3.7811,                 3.5211,                0.00762,                0.32812,                0.00828,                0.00203,                 3.0697,                 4.4972,                  3.941,             0.00034439,             0.00034439,             0.00034439
                     25,                 2.9148,                 3.8015,                 3.5464,                0.00712,                0.32812,                0.00699,                0.00189,                 3.0857,                 4.4977,                 3.9501,             0.00029723,             0.00029723,             0.00029723
                     26,                 2.8541,                 3.6891,                  3.518,                0.00738,                0.34375,                0.00933,                0.00205,                 3.1022,                 4.4976,                 3.9479,             0.00025007,             0.00025007,             0.00025007
                     27,                 2.9106,                 3.9224,                 3.5927,                0.00769,                0.35938,                0.01182,                 0.0024,                 3.1163,                 4.4903,                 3.9552,             0.00020292,             0.00020292,             0.00020292
                     28,                 2.9657,                 3.7679,                 3.4817,                 0.0085,                0.35938,                0.00944,                0.00231,                 3.0635,                 4.5156,                 3.9163,             0.00015576,             0.00015576,             0.00015576
                     29,                 2.8398,                 3.7604,                 3.4507,                0.00917,                0.35938,                0.00911,                0.00232,                 3.0237,                 4.5368,                 3.8873,              0.0001086,              0.0001086,              0.0001086
                     30,                 2.8035,                 3.7327,                 3.5029,                0.00813,                0.29688,                0.00813,                0.00216,                 2.9872,                 4.5739,                 3.8535,             6.1447e-05,             6.1447e-05,             6.1447e-05
